,title,titleUrl,time,channelName,category
2123, COMO SER MUITO MAIS PRODUTIVO | O MILAGRE DA MANHÃ,https://www.youtube.com/watch?v=8WQAkxpReOo,2021-03-12 07:02:48.217000-03:00,Matheus 3D,Education
2124, STUDY WITH ME (with music) 2.5 HOURS POMODORO SESSION!,https://www.youtube.com/watch?v=dmDbesougG0,2021-03-11 20:59:36.446000-03:00,TheStrive Studies,People & Blogs
2125, STUDY WITH ME with Forest Stream Ambience | 3 HOURS REAL-TIME POMODORO STUDY SESSION,https://www.youtube.com/watch?v=_jt9ALjMyNM,2021-03-11 20:59:20.015000-03:00,The Sherry Formula,Howto & Style
2126, Vocabulary To Help You Speak About Coronavirus in English - Covid-19 ESL | The English Experience,https://www.youtube.com/watch?v=mWnernIBbek,2021-03-11 19:47:15.366000-03:00,The English Experience,Education
2127, Friends Airport Security (deleted scene),https://www.youtube.com/watch?v=_p5i7lu2pGQ,2021-03-11 19:11:29.267000-03:00,bagurka,Comedy
2128, Accessibility & Inclusion For All,https://www.youtube.com/watch?v=EAxnE2XzL0k,2021-03-11 18:03:23.453000-03:00,World Economic Forum,News & Politics
2129, COMPRAS PARA TRINCAR COM DIETA FLEXÍVEL no Walmart!  *secando até o natal!*,https://www.youtube.com/watch?v=_uIlKRIoD-M,2021-03-11 15:58:52.390000-03:00,Gabriel Arones - Fitness Flexível,Entertainment
2130," É SOLITÁRIO IMIGRAR? Minha experiência com amizades, expectativas e saudades na mudanca pro Canadá",https://www.youtube.com/watch?v=yuraoH-1RTQ,2021-03-11 15:39:49.709000-03:00,Tuca Loretti,Entertainment
2131, Como é trabalhar na área de dado da XP Inc.,https://www.youtube.com/watch?v=uwoaygGUnT4,2021-03-11 15:10:57.430000-03:00,XP Inc.,News & Politics
2132, Google Data Analytics Certificate | Coming Out Soon!,https://www.youtube.com/watch?v=duMcYRtQITA,2021-03-11 14:19:04.317000-03:00,Alex The Analyst,Education
2133, Day in the Life of a Data Analyst | Fortune 500 Edition,https://www.youtube.com/watch?v=qzZU6LAtIig,2021-03-11 14:15:42.541000-03:00,Alex The Analyst,Education
2134, Day in the Life of a Data Analyst | work from home,https://www.youtube.com/watch?v=O6pRU1H07CE,2021-03-11 14:13:24.255000-03:00,Jenny Tumay,People & Blogs
2135, Michio Kaku: Why flat-Earth theory and anti-vax conspiracies exist | Big Think,https://www.youtube.com/watch?v=bL7TORXTiAA,2021-03-11 11:38:59.549000-03:00,Big Think,Education
2136, The origin of countless conspiracy theories - PatrickJMT,https://www.youtube.com/watch?v=88_C-fogY40,2021-03-11 11:32:43.798000-03:00,TED-Ed,Education
2137, B.o.B's Flat Earth Conspiracy Explained (And Obviously Debunked),https://www.youtube.com/watch?v=UzIKWnZJ29s,2021-03-11 11:31:47.910000-03:00,Mashable,Science & Technology
2138," How Conspiracies Changed (Flat Earth, Anti-Vaxxers) – Wisecrack Edition",https://www.youtube.com/watch?v=NWkBccBtGAw,2021-03-11 11:28:06.934000-03:00,Wisecrack,Education
2139, The coronavirus explained to children,https://www.youtube.com/watch?v=MVvVTDhGqaA,2021-03-11 11:19:02.070000-03:00,Eurac Research,Education
2140," Coronavirus Vocabulary Lesson. ELL/ESL Newcomer. Or primary grade, native speakers of English",https://www.youtube.com/watch?v=5lb8iYXRpSk,2021-03-11 11:13:54.333000-03:00,Alyona's Class Live,Entertainment
2141, Giving directions,https://www.youtube.com/watch?v=qWO8e54zgPA,2021-03-11 11:06:39.883000-03:00,English with Paul,Education
2142, URI1008 - Python,https://www.youtube.com/watch?v=K0X1xa0FGJg,2021-03-11 10:37:50.629000-03:00,Julio Henrique,Education
2143, STUDY WITH ME with music |  ft. 25-min focus blocks | 2 HOURS REAL-TIME POMODORO STUDY SESSION,https://www.youtube.com/watch?v=qZsQpUUvWJY,2021-03-11 10:13:32.765000-03:00,The Sherry Formula,Howto & Style
2144," Como virei programadora front-end, dúvidas, história! :D",https://www.youtube.com/watch?v=6JBgMOg94as,2021-03-11 08:57:10.826000-03:00,Jennifer Oenning,Entertainment
2145, Curso Python #17 - Listas (Parte 2),https://www.youtube.com/watch?v=YV_JQmZNFsk,2021-03-11 08:26:10.627000-03:00,Curso em Vídeo,Education
2146, INDO COMPRAR OS MÓVEIS DO NOSSO QUARTO NA LOJA (Me ajudem a decidir? 🤑💸),https://www.youtube.com/watch?v=5eF0R7x2N_w,2021-03-11 07:56:44.160000-03:00,Djenny Kock,Entertainment
2147, It Took Me 21 Years To Find My Perfect Workout Routine (And I'm Sharing It With You),https://www.youtube.com/watch?v=nz1Q3BRu20g,2021-03-11 07:29:49.439000-03:00,Buff Dudes,Entertainment
2148," MUDANÇAS NO MEU CORPO, ALMOÇO & ROTINA DIÁRIA 💫 | Vanessa Lino",https://www.youtube.com/watch?v=hJ2kgRkpjNc,2021-03-11 07:13:55.586000-03:00,Vanessa Lino,People & Blogs
2149," Lula: ""Este país não tem governo; este país não tem ministro da Saúde""",https://www.youtube.com/watch?v=LQ8DSyw6oUE,2021-03-11 07:12:44.769000-03:00,Band Jornalismo,News & Politics
2150, 20 Minute Countdown Timer With Workout Music,https://www.youtube.com/watch?v=vilIEpdLoJ4,2021-03-11 06:50:48.602000-03:00,WSHQ: Workout Music,Sports
2151, How Long Does It Take to Burn Off Fast Food?,https://www.youtube.com/watch?v=DuGKO3RnIfA,2021-03-10 22:05:11.746000-03:00,Buff Dudes,Entertainment
2152, A pergunta que sempre evito responder sobre morar no exterior... 🇨🇦,https://www.youtube.com/watch?v=FWVkFls6CRY,2021-03-10 21:47:26.493000-03:00,Paula no Canadá,Travel & Events
2153," MUDANÇAS NO MEU CORPO, ALMOÇO & ROTINA DIÁRIA 💫 | Vanessa Lino",https://www.youtube.com/watch?v=hJ2kgRkpjNc,2021-03-10 21:46:51.769000-03:00,Vanessa Lino,People & Blogs
2154, Vlog em FRANCÊS | Um tesouro da minha infância francesa  + Será que vou voltar pra França?,https://www.youtube.com/watch?v=8FFkUxBOr_M,2021-03-10 18:38:06.230000-03:00,Os franceses tomam banho!,People & Blogs
2155, Exercício Python #083 - Validando expressões matemáticas,https://www.youtube.com/watch?v=dvhP41Z7TLk,2021-03-10 18:15:51.585000-03:00,Curso em Vídeo,Education
2156, Exercício Python #082 - Dividindo valores em várias listas,https://www.youtube.com/watch?v=uk0gDFQEo_I,2021-03-10 18:07:15.042000-03:00,Curso em Vídeo,Education
2157, Exercício Python #081 - Extraindo dados de uma Lista,https://www.youtube.com/watch?v=SXJKAVVlvGA,2021-03-10 18:03:07.680000-03:00,Curso em Vídeo,Education
2158, Exercício Python #080 - Lista ordenada sem repetições,https://www.youtube.com/watch?v=QDpwjBYRcVE,2021-03-10 17:39:06.082000-03:00,Curso em Vídeo,Education
2159, Early Morning Study With Me (7 HOURS) | Lofi Beats + Nature Breaks (Pomodoro 25/5),https://www.youtube.com/watch?v=mEutnehdGro,2021-03-10 11:12:49.822000-03:00,Zach Highley,Education
2160, STUDY AT HOGWARTS - Pomodoro | ASMR + Music Breaks | Study with me Harry Potter Peaceful Relaxing,https://www.youtube.com/watch?v=IzaPLc9TuRE,2021-03-10 11:12:09.651000-03:00,Peaceful Ambience,Entertainment
2161, VLOG: software engineer day in my life in NYC!,https://www.youtube.com/watch?v=RqwXqG_5Jrw,2021-03-10 10:18:27.049000-03:00,lena elizabeth,Howto & Style
2162, 7 coisas que NÃO gostamos no Canadá! 🇨🇦😱,https://www.youtube.com/watch?v=DvvZNTMxM4c,2021-03-10 10:17:47.528000-03:00,Paula no Canadá,Travel & Events
2163, URI questão 1002 (Python 3) | Resolvendo questões #2,https://www.youtube.com/watch?v=rdYzYJfta7s,2021-03-10 07:15:23.626000-03:00,Calebe Evangelista - Garoto de Programa,People & Blogs
2164, URI - Iniciante - 1001 - Extremamente Básico - Python 3,https://www.youtube.com/watch?v=Nt1HpT_L-Uk,2021-03-10 07:08:54.973000-03:00,Resolvendo URI,People & Blogs
2165," URI Problem 1000 -""Hello World"" solution Bangla With Python | Competitive Programming Bangla। Python",https://www.youtube.com/watch?v=_j5_dz3HiCE,2021-03-09 23:00:13.510000-03:00,Jewel Education,Education
2166," 1 dia de rotina de trabalho | como é ser animador 3D no Canada, home office",https://www.youtube.com/watch?v=8VfhSNrKGYM,2021-03-09 21:54:47.255000-03:00,Matheus 3D,Education
2167, COMO SE TORNAR UM ANIMADOR 3D | Toda a minha história até aqui!,https://www.youtube.com/watch?v=RNzJcr-LyhA,2021-03-09 21:32:59.408000-03:00,Matheus 3D,Education
2168," Raya, O melhor filme de animação 3D da Disney?",https://www.youtube.com/watch?v=TA9ANSs0vMs,2021-03-09 21:29:51.514000-03:00,Matheus 3D,Education
2169," VLOG com mudanças na casa, van da UHAUL e comprinhas na IKEA!",https://www.youtube.com/watch?v=2-BLZSsQveQ,2021-03-09 20:55:15.413000-03:00,Tuca Loretti,Entertainment
2170, Learn Airport English Vocabulary | Fluent English for TRAVEL with TV Series,https://www.youtube.com/watch?v=qF6fbkE-Qn0,2021-03-09 18:37:28.267000-03:00,Learn English With TV Series,Education
2171, FRIENDS — Monica's Barbados hair (full),https://www.youtube.com/watch?v=QPngpHrP924,2021-03-09 18:36:53.340000-03:00,khangminh.,People & Blogs
2172, Friends Airport Security (deleted scene),https://www.youtube.com/watch?v=_p5i7lu2pGQ,2021-03-09 18:33:50.564000-03:00,bagurka,Comedy
2173," ✨ARTIST DIARIES✨ Lets talk about Racism, Taxes are scary, Clubhouse chat, & more!",https://www.youtube.com/watch?v=SLtWLXj78U4,2021-03-09 17:30:24.070000-03:00,apple.cheeks,People & Blogs
2174," 6 HOUR STUDY WITH ME | Background noise, 10-min break, No Music, Study with Merve",https://www.youtube.com/watch?v=RD2B1Ok8xWc,2021-03-09 14:22:57.536000-03:00,Merve,Education
2175," STUDENT WEEK IN THE LIFE | STUDYING, WORK & LIFE AT HOME",https://www.youtube.com/watch?v=w0xUmKYr71w,2021-03-09 08:32:44.170000-03:00,Holly Gabrielle,People & Blogs
2176, Martelada Silvana Mouzinho,https://www.youtube.com/watch?v=HwE1LfqS6Zo,2021-03-09 08:32:17.043000-03:00,Castelo Cutelaria,Howto & Style
2177, LOJAS BARATINHAS DO CANADÁ & ENSINEI MINHA FILHA A PREPARAR FEIJÃO,https://www.youtube.com/watch?v=7ozdGMYGnb4,2021-03-09 08:31:38.200000-03:00,Djenny Kock,Entertainment
2178," Tour na loja de decor que ""imita"" a IKEA + loja de nerdices favorita do Thiago + compras do dia!",https://www.youtube.com/watch?v=Incmh-LQ5AU,2021-03-08 22:31:27.868000-03:00,Paula no Canadá,Travel & Events
2179, Lançamentos VITAL FERRAMENTAS,https://www.youtube.com/watch?v=TbsRkey_xTo,2021-03-08 20:09:26.943000-03:00,Castelo Cutelaria,Howto & Style
2180, Takeout creates a lot of trash. It doesn't have to.,https://www.youtube.com/watch?v=5qx2WFpNTPs,2021-03-08 19:58:20.692000-03:00,Vox,News & Politics
2181, Food waste is the world's dumbest problem,https://www.youtube.com/watch?v=6RlxySFrkIM,2021-03-08 19:57:59.213000-03:00,Vox,Entertainment
2182, Bitcoin explained: How do cryptocurrencies work? - BBC News,https://www.youtube.com/watch?v=SzAuB2FG79A,2021-03-08 19:55:52.798000-03:00,BBC News,News & Politics
2183," 4 HOUR STUDY WITH ME | Background noise, 10-min break, No Music, Study with Merve",https://www.youtube.com/watch?v=SSfFG7HqTi4,2021-03-08 19:15:58.950000-03:00,Merve,Education
2184, Meu Bujo de 2020 -  Setup,https://www.youtube.com/watch?v=3cs7hEIjYaI,2021-03-08 19:13:10.672000-03:00,Bullet da Mari,People & Blogs
2185, Tour (sincero): bujo 2019,https://www.youtube.com/watch?v=S8-RGUDeI9w,2021-03-08 19:12:46.986000-03:00,Bullet da Mari,People & Blogs
2186, ECONOMIA COLABORATIVA: CONSUMO COMPARTILHADO CRESCE E VIRA TENDÊNCIA,https://www.youtube.com/watch?v=XxbLLu9hvzI,2021-03-08 15:15:41.447000-03:00,Record TV Goiás,Entertainment
2187, O meu trabalho melhorou no Brasil + ROTINA DIÁRIA 😍 | Vanessa Lino,https://www.youtube.com/watch?v=UUuf647U7qo,2021-03-08 13:13:59.934000-03:00,Vanessa Lino,People & Blogs
2188, Ordem decrescente em Python - Exemplo 01 com if simples,https://www.youtube.com/watch?v=pERaqYFdo4Q,2021-03-08 12:37:27.931000-03:00,Cursos Kane Chan,Education
2189, Exercício Python #033 - Maior e menor valores,https://www.youtube.com/watch?v=a_8FbW5oH6I,2021-03-08 10:42:19.832000-03:00,Curso em Vídeo,Education
2190," Real Time Study / Code with Me (Lo-Fi Music, 3 pomodoros)",https://www.youtube.com/watch?v=LVKGpgvs-fc,2021-03-08 10:31:50.723000-03:00,Chris Lovejoy,Education
2191, Wolf Gang - Lay Your Love Down,https://www.youtube.com/watch?v=C_QXxdvinBo,2021-03-08 09:12:08.020000-03:00,WolfGangUKVEVO,Music
2192, TV On The Radio - Happy Idiot (Official),https://www.youtube.com/watch?v=OaKVy-FlaUA,2021-03-08 09:08:40.495000-03:00,TVOnTheRadioVEVO,Music
2193, WALK THE MOON - Work This Body (Lyrics),https://www.youtube.com/watch?v=qzkCk6-d8Oc,2021-03-08 09:05:42.512000-03:00,Lauren,Music
2194, MGMT - Kids (Official HD Video),https://www.youtube.com/watch?v=fe4EK4HSPkI,2021-03-08 08:59:33.138000-03:00,MGMTVEVO,Music
2195, tUnE-yArDs - Water Fountain (Official Video),https://www.youtube.com/watch?v=jbiFcPhccu8,2021-03-08 08:58:56.324000-03:00,Tune-Yards,Entertainment
2196, Bastille - Of The Night (Official Music Video),https://www.youtube.com/watch?v=ZCTDKLjdok4,2021-03-08 08:55:02.776000-03:00,BastilleVEVO,Music
2197," Spoon — ""Do You"" (Official Music Video)",https://www.youtube.com/watch?v=fd6aXM8WHGw,2021-03-08 08:50:52.698000-03:00,Urban Outfitters Television,Music
2198, Peace - Lost on Me,https://www.youtube.com/watch?v=PnYG2EOFEDU,2021-03-08 08:46:09.432000-03:00,PeaceVEVO,Music
2199, HAIM - The Wire (Official Music Video),https://www.youtube.com/watch?v=1TffpkE2GU4,2021-03-08 08:39:52.227000-03:00,HaimVEVO,Music
2200, Yeah Yeah Yeahs - Heads Will Roll,https://www.youtube.com/watch?v=auzfTPp4moA,2021-03-08 08:35:59.282000-03:00,YeahYeahYeahsVEVO,Music
2201," The Orwells - ""Who Needs You""",https://www.youtube.com/watch?v=AwAdhvvGFlo,2021-03-08 08:35:46.398000-03:00,The Orwells,Music
2202, Foster The People - Don't Stop (Color on the Walls) (Video),https://www.youtube.com/watch?v=jlAgHt92lqE,2021-03-08 08:31:58.534000-03:00,fosterthepeopleVEVO,Music
2203, The Killers - Mr. Brightside (Official Music Video),https://www.youtube.com/watch?v=gGdGFtwCNBE,2021-03-08 08:27:59.056000-03:00,TheKillersVEVO,Music
2204, The Generationals - When they fight they fight,https://www.youtube.com/watch?v=w45SZvEKMME,2021-03-08 08:24:03.835000-03:00,loova31,Music
2205, The Kills - Future Starts Slow,https://www.youtube.com/watch?v=NwudqTCkBis,2021-03-08 08:19:55.445000-03:00,Mick042,Music
2206, The Strokes - Last Nite (Official Music Video),https://www.youtube.com/watch?v=TOypSnKFHrE,2021-03-08 08:15:48.781000-03:00,thestrokesVEVO,Music
2207, O INGLÊS DA FERNANDA MONTENEGRO – FALA BEM?,https://www.youtube.com/watch?v=TO9Wc1mYDuw,2021-03-07 21:26:04.325000-03:00,SmallAdvantages,Education
2208, My Friends Try My Home Workout Routine,https://www.youtube.com/watch?v=YQfXnrNF_i4,2021-03-07 12:58:51.622000-03:00,Michelle Khare,Entertainment
2209, DIA REAL de uma mãe que trabalha em casa // VLOG contando TUDO sobre o meu trabalho 💸,https://www.youtube.com/watch?v=MxojcLQP8OI,2021-03-07 12:58:23.121000-03:00,Djenny Kock,Entertainment
2210, Paint With Me! Studio Ghibli 🌿✨,https://www.youtube.com/watch?v=bxYhv2deXxo,2021-03-06 17:14:33.741000-03:00,Marlene Vega,Entertainment
2211," 3 HOUR STUDY WITH ME | Background noise, Rain Sounds, 10-min break, No Music",https://www.youtube.com/watch?v=1ex_bNIFR1A,2021-03-06 17:14:02.996000-03:00,Merve,Education
2212, Economia Colaborativa - entenda e tire proveito [QG do Godri],https://www.youtube.com/watch?v=1ZvEptr359g,2021-03-06 15:24:14.748000-03:00,Daniel Godri - GODRITV,People & Blogs
2213," ""O que é economia colaborativa?"" com Camila Haddad - Minas que manjam #1",https://www.youtube.com/watch?v=e5al0pFyQWw,2021-03-06 15:22:29.912000-03:00,Comum,People & Blogs
2214, Economia Colaborativa: O novo modo de movimentar bilhões,https://www.youtube.com/watch?v=_aPLUd5nNNk,2021-03-06 15:15:39.031000-03:00,VIVA MELHOR,People & Blogs
2215, Technologies to reduce food waste | Marcio Barradas | TEDxBarcelona,https://www.youtube.com/watch?v=wYo0vWY0R-w,2021-03-06 15:11:13.312000-03:00,TEDx Talks,Nonprofits & Activism
2216, How Blockchain can transform India | Jaspreet Bindra | TEDxChennai,https://www.youtube.com/watch?v=8fbhI1qVj0c,2021-03-06 15:02:02.853000-03:00,TEDx Talks,Nonprofits & Activism
2217, Blockchain in Supply Chain | Soumya Choudhury | TEDxIIMBangalore,https://www.youtube.com/watch?v=H-Z5ZYq6zio,2021-03-06 15:01:34.351000-03:00,TEDx Talks,Nonprofits & Activism
2218, O Impacto Social do Blockchain | Helena Margarido | TEDxUSP,https://www.youtube.com/watch?v=2em1Gx4FZSQ,2021-03-06 15:00:45.521000-03:00,TEDx Talks,Nonprofits & Activism
2219, How the blockchain will radically transform the economy | Bettina Warburg,https://www.youtube.com/watch?v=RplnSVTzvnU,2021-03-06 14:52:16.135000-03:00,TED,Science & Technology
2220, 🔴 Blockchain na prática (programador explica!),https://www.youtube.com/watch?v=7C4WLunfW3E,2021-03-06 12:11:46.454000-03:00,Tiago Salem,Science & Technology
2221, Bitcoin explained: How do cryptocurrencies work? - BBC News,https://www.youtube.com/watch?v=SzAuB2FG79A,2021-03-06 10:35:00.120000-03:00,BBC News,News & Politics
2222, Privacy By Design,https://www.youtube.com/watch?v=3N3bJBbgddw,2021-03-06 08:43:28.137000-03:00,Security Privacy Risk,Science & Technology
2223, A Day In The Life Of A Procrastinator | BBC The Social,https://www.youtube.com/watch?v=-vf-j65G9VI,2021-03-06 08:25:16.391000-03:00,BBC Scotland - Comedy,Comedy
2224, Introduction to Privacy by Design - AWS Online Tech Talks,https://www.youtube.com/watch?v=5x80yPCjFwQ,2021-03-06 08:12:33.250000-03:00,AWS Online Tech Talks,Science & Technology
2225, GDPR - Privacy by Design & Default - 2 min explanation | EU General Data Protection Regulation,https://www.youtube.com/watch?v=GZcfCjHoBug,2021-03-06 08:09:51.940000-03:00,WissenX Akademie,Science & Technology
2226, Why data security is more crucial than ever | Privacy by design | Fairphone,https://www.youtube.com/watch?v=M9HdY4lby10,2021-03-06 08:08:45.820000-03:00,Fairphone,Science & Technology
2227, What Happens When You Procrastinate Too Much,https://www.youtube.com/watch?v=NIn7opOQWGQ,2021-03-06 08:01:10.676000-03:00,Science Insider,Science & Technology
2228, Why Do We Procrastinate?,https://www.youtube.com/watch?v=pKyHX0zqynk,2021-03-06 08:00:52.191000-03:00,SciShow,Education
2229, The ONLY way to stop procrastinating | Mel Robbins,https://www.youtube.com/watch?v=4x7MkLDGnu8,2021-03-06 07:53:51.068000-03:00,Mel Robbins,People & Blogs
2230, BBC on Bitcoin & The Blockchain,https://www.youtube.com/watch?v=2ky3mDUoh74,2021-03-06 07:52:35.768000-03:00,Satoshi Nakamoto,Science & Technology
2231, Can a Buff Dude Survive his Girlfriend's Workout & Eating Routine? | Men Vs Women Workouts,https://www.youtube.com/watch?v=LqB599J2hzY,2021-03-05 21:09:22.236000-03:00,Buff Dudes,Entertainment
2232," PRIMEIRAS COMPRAS DE SUPERMERCADO NO CANADÁ, COSTCO E PREÇOS",https://www.youtube.com/watch?v=K_kLmTOvUcU,2021-03-05 20:45:45.006000-03:00,Djenny Kock,Entertainment
2233, Custo de vida SÃO PAULO X VANCOUVER 🇧🇷🇨🇦 Dá pra morar no Brasil mantendo o padrão de vida do Canadá?,https://www.youtube.com/watch?v=Rf3HD3PZXAc,2021-03-05 20:32:42.355000-03:00,Paula no Canadá,Travel & Events
2234, Food waste is the world's dumbest problem,https://www.youtube.com/watch?v=6RlxySFrkIM,2021-03-05 19:47:48.119000-03:00,Vox,Entertainment
2235, Bitcoin explained: How do cryptocurrencies work? - BBC News,https://www.youtube.com/watch?v=SzAuB2FG79A,2021-03-05 19:47:43.077000-03:00,BBC News,News & Politics
2236, But how does bitcoin actually work?,https://www.youtube.com/watch?v=bBC-nXj3Ng4,2021-03-05 17:59:06.232000-03:00,3Blue1Brown,Education
2237, O futuro dos contratos inteligentes com Blockchain,https://www.youtube.com/watch?v=1OwPEmQrXq0,2021-03-05 13:29:21.267000-03:00,ECOA PUCRIO,People & Blogs
2238, Compras de supermercado no Canadá + vestindo as crianças para o frio,https://www.youtube.com/watch?v=GfCsjEhvi8A,2021-03-05 12:49:29.481000-03:00,Djenny Kock,Entertainment
2239," BLOCKCHAIN - AULA 1 - ENTENDA O QUE É, COMO FUNCIONA E ONDE SE UTILIZA",https://www.youtube.com/watch?v=AzFitMkPMSU,2021-03-05 12:02:08.014000-03:00,Dinheiro Digital - Criptomoedas para iniciantes,Science & Technology
2240, Blockchain - A Revolução da Confiança | Taynaah Reis | TEDxBlumenau,https://www.youtube.com/watch?v=Kk_Y_Ra3p9o,2021-03-05 11:44:09.102000-03:00,TEDx Talks,Nonprofits & Activism
2241, Blockchain: o tsunami que está chegando! | Cezar Taurion | TEDxPetrópolis,https://www.youtube.com/watch?v=AYrlGf9meAE,2021-03-05 11:24:07.230000-03:00,TEDx Talks,Nonprofits & Activism
2242," Criptomoedas, blockchain e Altcoins | Nerdologia Tech",https://www.youtube.com/watch?v=PQQ0NpwqMlg,2021-03-05 11:16:38.727000-03:00,Nerdologia,Science & Technology
2243," PRIMEIRO DIA DE AULA NO CANADÁ SEM FALAR INGLÊS, CHOREI DEMAIS 😭#1",https://www.youtube.com/watch?v=Oy4Y6yLPcLM,2021-03-05 08:25:59.143000-03:00,Djenny Kock,Entertainment
2244, COMPRAS NO COSTCO COMIGO! Mercado atacado no Canadá // Família de 4 pessoas,https://www.youtube.com/watch?v=-FVFcWPg8tQ,2021-03-05 08:15:34.347000-03:00,Djenny Kock,Entertainment
2245, Supermercado no Canadá - Compras no Costco,https://www.youtube.com/watch?v=hcoNhdHGDho,2021-03-05 07:31:22.418000-03:00,Vivendo no Canadá,Travel & Events
2246, MINHA EVOLUÇÃO EM 60 DIAS! *avaliação física atualizada*,https://www.youtube.com/watch?v=q_0YboD57rc,2021-03-04 21:49:46.491000-03:00,A Bela e o Fera,Entertainment
2247, FIZ A DIETA DO JASON MOMOA POR 1 DIA! // *SEGREDO DO SHAPE *Dieta dos Famosos na PRÁTICA!!,https://www.youtube.com/watch?v=tw6svK4uWuc,2021-03-04 21:48:54.466000-03:00,Gabriel Arones - Fitness Flexível,People & Blogs
2248," ESTAMOS FICANDO LOUCOS! 😵Tentando manter a dieta, treino e sanidade *as gêmeas chegaram!*",https://www.youtube.com/watch?v=O9rhHgqJAu0,2021-03-04 19:29:29.050000-03:00,Gabriel Arones - Fitness Flexível,People & Blogs
2249, What does 'doomscrolling' mean? - The English We Speak,https://www.youtube.com/watch?v=ymPtDP9iHFY,2021-03-04 18:54:49.005000-03:00,BBC Learning English,Education
2250," ""Doomscrolling"" impacting mental health",https://www.youtube.com/watch?v=aFBD06hg8aY,2021-03-04 18:53:37.853000-03:00,ABC15 Arizona,News & Politics
2251, Rooms of the House | ESL Game,https://www.youtube.com/watch?v=LhdzdQjlI64,2021-03-04 14:07:52.274000-03:00,Games4esl,Education
2252," DONA DE CASA QUE TRABALHA FORA | Faxina no banheiro,armário da cozinha e mais...por casa limpa",https://www.youtube.com/watch?v=ols-EM2o9Co,2021-03-04 13:38:19.474000-03:00,Casa Limpa,People & Blogs
2253, LIVRE-SE de PELOS de GATOS soltos pela casa confiram o que eu faço👏por casa limpa,https://www.youtube.com/watch?v=4nM9bvBkEaM,2021-03-04 10:21:15.276000-03:00,Casa Limpa,People & Blogs
2254, Diário 25 - 2900 kcal | Muffins + Receita: Sorvete de Banana,https://www.youtube.com/watch?v=L7yvtHgIsFk,2021-03-04 08:00:54.003000-03:00,Gabriel Arones - Fitness Flexível,Howto & Style
2255, Animal Crossing New Horizons Music To Relax/Study/Work/Game,https://www.youtube.com/watch?v=v4coxDl_avw,2021-03-04 08:00:20.263000-03:00,Pikaboo,People & Blogs
2256, ISSO MUDOU MEU CORPO! | Pizza de Brócolis | Receitas,https://www.youtube.com/watch?v=PvlbRNJZ-Io,2021-03-04 07:34:37.592000-03:00,Gabriel Arones - Fitness Flexível,Howto & Style
2257, Finalmente o escritório esta pronto | DIÁRIO DE DECORAÇÃO BAIXA RENDA,https://www.youtube.com/watch?v=f7frbeKIP9I,2021-03-04 07:33:56.206000-03:00,Blogueira de Baixa Renda,People & Blogs
2258, FABRIZYZZ ESTÁ COM O CORPO INEXPLICÁVEL!,https://www.youtube.com/watch?v=7hSve0OGPcg,2021-03-04 07:00:13.774000-03:00,Victor Lelis,Sports
2259," BLOCKCHAIN - AULA 1 - ENTENDA O QUE É, COMO FUNCIONA E ONDE SE UTILIZA",https://www.youtube.com/watch?v=AzFitMkPMSU,2021-03-03 22:01:09.872000-03:00,Dinheiro Digital - Criptomoedas para iniciantes,Science & Technology
2260," VLOG | Dollarama, festinha do Link, Thiago na cozinha e mais do nosso fim de semana 🇨🇦",https://www.youtube.com/watch?v=9BylP8q_4FU,2021-03-03 21:14:07.523000-03:00,Paula no Canadá,Travel & Events
2261, COMO GUSTTAVO LIMA METEU O SHAPE?💪 REVELANDO A DIETA e treino DOS FAMOSOS!! +32kg de músculos!,https://www.youtube.com/watch?v=kp6G8Ui7iSA,2021-03-03 21:00:03.157000-03:00,Gabriel Arones - Fitness Flexível,People & Blogs
2262," Criptomoedas, blockchain e Altcoins | Nerdologia Tech",https://www.youtube.com/watch?v=PQQ0NpwqMlg,2021-03-03 20:18:23.617000-03:00,Nerdologia,Science & Technology
2263, 🔴 Blockchain na prática (programador explica!),https://www.youtube.com/watch?v=7C4WLunfW3E,2021-03-03 20:17:59.435000-03:00,Tiago Salem,Science & Technology
2264, RESUMO SOBRE O QUE É BLOCKCHAIN (entenda em menos de 5 min!),https://www.youtube.com/watch?v=luupqbHgZX8,2021-03-03 19:52:16.793000-03:00,Usecripto,People & Blogs
2265, Curso e-commerce GRÁTIS | Nuvemshop | Layout + Produtos - AULA 1,https://www.youtube.com/watch?v=-PrbsOeg_nk,2021-03-03 19:39:47.451000-03:00,Marca Digital,Education
2266, Colocar Banner Na Loja Virtual Nuvemshop - Medidas corretas e tutorial passo a passo,https://www.youtube.com/watch?v=4Jvfg-SEhiA,2021-03-03 19:34:39.503000-03:00,Jackson Jorge - Empreendedor Digital,Science & Technology
2267, Paradis - Sur Une Chanson En Français,https://www.youtube.com/watch?v=MCmnx-e928k,2021-03-03 10:31:48.239000-03:00,ParadisVEVO,Music
2268, Paradis - Toi Et Moi (Official Video),https://www.youtube.com/watch?v=5H4ekRWiW6U,2021-03-03 10:27:40.778000-03:00,ParadisVEVO,Music
2269, Paradis - Garde Le Pour Toi,https://www.youtube.com/watch?v=kWhR0RMcdfw,2021-03-03 10:04:16.720000-03:00,ParadisVEVO,Music
2270, Exercício Python #079 - Valores únicos em uma Lista,https://www.youtube.com/watch?v=LkAzRnc_GPk,2021-03-03 09:39:07.309000-03:00,Curso em Vídeo,Education
